"action","score","platform","title","rent","layout","area_m2","source_area","community","address","tags","residential_priority","distance_km_to_work","longitude","latitude","geocode_precision","url","evidence"
"contact","110","anjuke","国企保障租房！御桥18 00 租期不限 民用水电 首月0元","2500","1室1厅","55","北蔡","沪南路2500号楼","沪南路2500号","朝南 有电梯 11/18号线","normal","5.05","121.564945","31.152202","门址","https://sh.zu.anjuke.com/fangyuan/4585333180439552"," 国企保障租房！御桥18 00 租期不限 民用水电 首月0元 安选 1室1厅|55平米|高层(共6层) 沪南路2500号楼   浦东-北蔡 -沪南路2500号 整租 朝南 有电梯 11/18号线  陈帮庆 2500 元/月"
"contact","110","anjuke","11号线御桥地铁口，楼下商圈围绕，民用水电","2500","1室1厅","40","御桥","沪南路2420号楼","沪南路2420号","朝南 有电梯 11/13/18号线","normal","5.05","121.563679","31.1536","门址","https://sh.zu.anjuke.com/fangyuan/4579953636303881"," 11号线御桥地铁口，楼下商圈围绕，民用水电 安选 1室1厅|40平米|共4层 沪南路2420号楼   浦东-御桥 -沪南路2420号 整租 朝南 有电梯 11/13/18号线  聂欢 2500 元/月"
"contact","110","anjuke","周浦 一室一厅 民水民电 小区环境好 配有免费健身房 班车","2500","1室1厅","50","康桥","浦三路4800弄小区","浦三路4800弄","朝南 有电梯 18号线","normal","8.39","121.518152","31.185447","门牌号","https://sh.zu.anjuke.com/fangyuan/4640093989250057","周浦 一室一厅 民水民电 小区环境好 配有免费健身房 班车 安选 1室1厅|50平米|中层(共18层) 浦三路4800弄小区   浦东-康桥 浦三路4800弄 整租 朝南 有电梯 18号线  张文斌 2500 元/月"
"contact","110","anjuke","地铁十一号线康新公路 附近有智元 漕河泾张江机器人谷随看随住","2580","1室1厅","53.4","康桥","汤巷馨村(南区)","秀沿路2501弄","朝南 有电梯 11号线","normal","4.73","121.601444","31.138429","道路","https://sh.zu.anjuke.com/fangyuan/4596993639459840","地铁十一号线康新公路 附近有智元 漕河泾张江机器人谷随看随住 安选 1室1厅|53.4平米|低层(共13层) 汤巷馨村(南区)   浦东-康桥 -秀沿路2501弄 整租 朝南 有电梯 11号线  杨阳 2580 元/月"
"contact","110","anjuke","明珠小区 1室1厅1卫","2580","1室1厅","42","唐镇","明珠小区","新德路735弄,新德路681弄","朝南 2号线","normal","8.23","121.690978","31.195761","道路","https://sh.zu.anjuke.com/fangyuan/4331745100655626"," 明珠小区 1室1厅1卫 安选 1室1厅|42平米|低层(共6层) 明珠小区   浦东-川沙 新德路735弄,新德路681弄 整租 朝南 2号线 2580 元/月"
"contact","110","anjuke","11号线秀沿路地铁站500米，精装修燃气一室一厅，近漕河泾","2600","1室1厅","40","康桥","文怡苑(一期)","秀沿路2585弄","朝南 有电梯 11号线","normal","4.68","121.605544","31.138634","道路","https://sh.zu.anjuke.com/fangyuan/4003453722615816"," 11号线秀沿路地铁站500米，精装修燃气一室一厅，近漕河泾 安选 1室1厅|40平米|中层(共13层) 文怡苑(一期)   浦东-康桥 -秀沿路2585弄 整租 朝南 有电梯 11号线  宁翠 2600 元/月"
"contact","110","anjuke","唐镇中心近张江 双阳台大平层小区安静采光佳","2650","1室1厅","40","唐镇","唐龙路1169号楼","唐龙路1169号","朝南 有电梯 2号线","normal","7.21","121.663264","31.223406","门址","https://sh.zu.anjuke.com/fangyuan/4622600105667595"," 唐镇中心近张江 双阳台大平层小区安静采光佳 安选 1室1厅|40平米|共4层 唐龙路1169号楼   浦东-唐镇 唐龙路1169号 整租 朝南 有电梯 2号线  杨正勇 2650 元/月"
"contact","110","anjuke","浦东新区康桥浦发有家一室一厅一卫一厨40平方米","2650","1室1厅","40","康桥","浦发有家康泽社区","曲桥路157弄","朝南 有电梯 18号线","normal","7.27","121.549824","31.136591","门牌号","https://sh.zu.anjuke.com/fangyuan/4472217374223364","浦东新区康桥浦发有家一室一厅一卫一厨40平方米 安选 1室1厅|40平米|低层(共15层) 浦发有家康泽社区   浦东-康桥 -曲桥路157弄 整租 朝南 有电梯 18号线  马东升 2650 元/月"
"contact","110","anjuke","沪南路2500号楼 拎包入住 南北通透 精装修","2700","1室1厅","40","北蔡","沪南路2500号楼","沪南路2500号","朝南 有电梯 11/18号线","normal","5.05","121.564945","31.152202","门址","https://sh.zu.anjuke.com/fangyuan/4550402969054220"," 沪南路2500号楼 拎包入住 南北通透 精装修 安选 1室1厅|40平米|共5层 沪南路2500号楼   浦东-北蔡 -沪南路2500号 整租 朝南 有电梯 11/18号线  黄庭 2700 元/月"
"contact","110","anjuke","康桥 1室1厅1卫","2700","1室1厅","50","康桥","康桥","康桥","朝南 有电梯","normal","5.71","121.580145","31.134511","住宅区","https://sh.zu.anjuke.com/fangyuan/4640912967375880","康桥 1室1厅1卫 1室1厅|50平米|共4层 康桥   浦东-康桥 -康桥 整租 朝南 有电梯 2700 元/月"
"contact","110","anjuke","诚康雅苑 原一房 整租 带阳台 燃气大厨房 独立厨卫近地铁","2700","1室1厅","80","康桥","诚康雅苑","箭桥路860弄","带阳台 燃气大厨房 独立厨卫近地铁 安选 1室1厅|80平米|高层(共18层) 诚康雅苑   浦东-康桥 -箭桥路860弄 整租 朝南 有电梯 11号线/机场联络线","normal","5.83","121.613236","31.128665","道路","https://sh.zu.anjuke.com/fangyuan/4575805256705034"," 诚康雅苑 原一房 整租 带阳台 燃气大厨房 独立厨卫近地铁 安选 1室1厅|80平米|高层(共18层) 诚康雅苑   浦东-康桥 -箭桥路860弄 整租 朝南 有电梯 11号线/机场联络线  郭胜利 2700 元/月"
"contact","110","anjuke","7号线锦绣路地铁站一房一厅 紧邻巴黎春天 直达东方体育中心","2700","1室1厅","40","北蔡","锦博苑商铺","高科西路2111弄","朝南 有电梯 7/13号线","normal","6.75","121.535798","31.188135","道路","https://sh.zu.anjuke.com/fangyuan/4543087397874700"," 7号线锦绣路地铁站一房一厅 紧邻巴黎春天 直达东方体育中心 安选 1室1厅|40平米|低层(共10层) 锦博苑商铺   浦东-北蔡 -高科西路2111弄 整租 朝南 有电梯 7/13号线  冶福海 2700 元/月"
"contact","110","anjuke","7号线锦绣路站，奶油风一房紧邻图书馆直达静安寺!","2700","1室1厅","50","北蔡","锦博苑商铺","高科西路2111弄","朝南 有电梯 7/13号线","normal","6.75","121.535798","31.188135","道路","https://sh.zu.anjuke.com/fangyuan/4552793396241412","7号线锦绣路站，奶油风一房紧邻图书馆直达静安寺! 安选 1室1厅|50平米|高层(共28层) 锦博苑商铺   浦东-北蔡 -高科西路2111弄 整租 朝南 有电梯 7/13号线  成咏梅 2700 元/月"
"contact","110","anjuke","唐镇卡园费 落地窗阳台","2700","1室1厅","40","唐镇","唐龙路1169号楼","唐龙路1169号","朝南 有电梯 2号线","normal","7.21","121.663264","31.223406","门址","https://sh.zu.anjuke.com/fangyuan/4612594508602372"," 唐镇卡园费 落地窗阳台 安选 1室1厅|40平米|共4层 唐龙路1169号楼   浦东-唐镇 唐龙路1169号 整租 朝南 有电梯 2号线  史德盛 2700 元/月"
"contact","110","anjuke","11号线康新公路地铁站附近，有吉祥航空商务绿洲星月湾总部","2780","1室1厅","94","康桥","宁怡苑","秀沿路2875弄1-53号","朝南 有电梯 11号线/机场联络线","normal","4.69","121.611392","31.1388","门址","https://sh.zu.anjuke.com/fangyuan/4608014176807945"," 11号线康新公路地铁站附近，有吉祥航空商务绿洲星月湾总部 安选 1室1厅|94平米|中层(共9层) 宁怡苑   浦东-康桥 -秀沿路2875弄1-53号 整租 朝南 有电梯 11号线/机场联络线  唐成宝 2780 元/月"
"contact","110","anjuke","11号线康新公路地铁站附近有激情航空昌硕漕河泾随时入住，","2780","1室1厅","74","康桥","宁怡苑","秀沿路2875弄1-53号","朝南 有电梯 11号线/机场联络线","normal","4.69","121.611392","31.1388","门址","https://sh.zu.anjuke.com/fangyuan/4587135701068800"," 11号线康新公路地铁站附近有激情航空昌硕漕河泾随时入住， 安选 1室1厅|74平米|中层(共14层) 宁怡苑   浦东-康桥 -秀沿路2875弄1-53号 整租 朝南 有电梯 11号线/机场联络线  唐成宝 2780 元/月"
"contact","110","anjuke","11号线秀沿路近智元漕河泾，昌硕，南北通透","2780","1室1厅","90.3","康桥","宁怡苑","秀沿路2875弄1-53号","朝南 11号线/机场联络线","normal","4.69","121.611392","31.1388","门址","https://sh.zu.anjuke.com/fangyuan/4581469927283727","11号线秀沿路近智元漕河泾，昌硕，南北通透 安选 1室1厅|90.3平米|低层(共6层) 宁怡苑   浦东-康桥 -秀沿路2875弄1-53号 整租 朝南 11号线/机场联络线  杨阳 2780 元/月"
"contact","110","anjuke","11和18号线御桥 阳台房 周边生活便利 押一付一 没中介费","2780","1室1厅","40","北蔡","沪南路2500号楼","沪南路2500号","朝南 有电梯 11/18号线","normal","5.05","121.564945","31.152202","门址","https://sh.zu.anjuke.com/fangyuan/4594326666173454"," 11和18号线御桥 阳台房 周边生活便利 押一付一 没中介费 安选 1室1厅|40平米|共5层 沪南路2500号楼   浦东-北蔡 -沪南路2500号 整租 朝南 有电梯 11/18号线  于强 2780 元/月"
"contact","110","anjuke","13号线莲溪路附近小区环境优美，家电齐全，拎包入住，宠物友好","2800","1室1厅","40","御桥","萃宸璟庭","莲振路123弄","朝南 有电梯 11/13/16/18号线","normal","4.13","121.566174","31.166494","门牌号","https://sh.zu.anjuke.com/fangyuan/4630755266948105","13号线莲溪路附近小区环境优美，家电齐全，拎包入住，宠物友好 安选 1室1厅|40平米|低层(共15层) 萃宸璟庭   浦东-御桥 -莲振路123弄 整租 朝南 有电梯 11/13/16/18号线  贾不了 2800 元/月"
"contact","110","anjuke","11号线秀沿路站，精装飘窗一室一厅民用水电拎包入住看房方便","2800","1室1厅","59.6","康桥","汤巷雅苑","环桥路1136弄","朝南 有电梯 11号线/机场联络线","normal","4.95","121.604826","31.136209","道路","https://sh.zu.anjuke.com/fangyuan/4560142491343877"," 11号线秀沿路站，精装飘窗一室一厅民用水电拎包入住看房方便 安选 1室1厅|59.6平米|中层(共10层) 汤巷雅苑   浦东-康桥 -环桥路1136弄 整租 朝南 有电梯 11号线/机场联络线  谷英 2800 元/月"
"contact","110","anjuke","秀怡苑 拎包入住 1室1厅1卫 阳光充足","2800","1室1厅","88.4","康桥","秀怡苑","环桥路1137弄","朝南 有电梯 11号线","normal","4.99","121.602303","31.135994","道路","https://sh.zu.anjuke.com/fangyuan/4640781027221517"," 秀怡苑 拎包入住 1室1厅1卫 阳光充足 安选 1室1厅|88.4平米|中层(共11层) 秀怡苑   浦东-康桥 -环桥路1137弄 整租 朝南 有电梯 11号线  贾婉心 2800 元/月"
"contact","110","anjuke","空调免费随便吹，不用担心用电0压力。管家","2800","1室1厅","40","北蔡","北中路150号楼","北中路150号","朝南 有电梯 7/13/18号线","normal","5.01","121.553621","31.182629","门址","https://sh.zu.anjuke.com/fangyuan/4486791956851720"," 空调免费随便吹，不用担心用电0压力。管家 安选 1室1厅|40平米|高层(共30层) 北中路150号楼   浦东-北蔡 -北中路150号 整租 朝南 有电梯 7/13/18号线  汪书萍 2800 元/月"
"contact","110","anjuke","冲鸭！！民用水电！整租！拎包入住！地铁站服务式保租房！","2800","1室1厅","45","北蔡","北中路150号楼","北中路150号","朝南 有电梯 7/13/18号线","normal","5.01","121.553621","31.182629","门址","https://sh.zu.anjuke.com/fangyuan/4486599148465153"," 冲鸭！！民用水电！整租！拎包入住！地铁站服务式保租房！ 安选 1室1厅|45平米|高层(共10层) 北中路150号楼   浦东-北蔡 -北中路150号 整租 朝南 有电梯 7/13/18号线  赵言欣 2800 元/月"
"contact","110","anjuke","近地铁，两人居住好房 独立厨卫私密性超好 精装全配 N套急租","2800","1室1厅","55","张江","张江国创中心","丹桂路899号","朝南 2号线","normal","5.29","121.632282","31.222713","公交地铁站点","https://sh.zu.anjuke.com/fangyuan/4616642880777229"," 近地铁，两人居住好房 独立厨卫私密性超好 精装全配 N套急租 安选 1室1厅|55平米|高层(共18层) 张江国创中心   浦东-张江 -丹桂路899号 整租 朝南 2号线  吴俊 2800 元/月"
"contact","110","anjuke","可月付押一付一近地铁采光好拎包入住独立厨卫","2800","1室1厅","45","张江","张江国创中心","丹桂路899号","朝南 有电梯 2号线","normal","5.29","121.632282","31.222713","公交地铁站点","https://sh.zu.anjuke.com/fangyuan/4616958942258181","可月付押一付一近地铁采光好拎包入住独立厨卫 安选 1室1厅|45平米|中层(共16层) 7日内实拍验真 张江国创中心   浦东-张江 -丹桂路899号 整租 朝南 有电梯 2号线  张幕玉 2800 元/月"
"contact","110","anjuke","地铁十一号线附近有漕河泾 张江机器人谷 智园 随看随住","2980","1室1厅","112.5","康桥","宁怡苑","秀沿路2875弄1-53号","朝南 有电梯 11号线/机场联络线","normal","4.69","121.611392","31.1388","门址","https://sh.zu.anjuke.com/fangyuan/4581470654915585","地铁十一号线附近有漕河泾 张江机器人谷 智园 随看随住 安选 1室1厅|112.5平米|中层(共6层) 宁怡苑   浦东-康桥 -秀沿路2875弄1-53号 整租 朝南 有电梯 11号线/机场联络线  王德博 2980 元/月"
"contact","110","anjuke","包网费及水费 可2人居住 空间超大 独立厨卫 精装全配 急租","3000","1室1厅","45","张江","百业路167弄31号楼","百业路167弄31号","朝南 有电梯 13号线","normal","0.32","121.609318","31.179568","门牌号","https://sh.zu.anjuke.com/fangyuan/4636396116091904"," 包网费及水费 可2人居住 空间超大 独立厨卫 精装全配 急租 安选 1室1厅|45平米|高层(共25层) 百业路167弄31号楼   浦东-张江 -百业路167弄31号 整租 朝南 有电梯 13号线  鲍莉玲 3000 元/月"
"contact","110","anjuke","近2号线金科路，精装独立一室户，非合租。拎包入住，押一付一。","3000","1室1厅","40","张江","张江新苑","紫薇路35弄1-33号","东南 2号线","normal","2.32","121.613458","31.200681","门址","https://sh.zu.anjuke.com/fangyuan/4596490477136900"," 近2号线金科路，精装独立一室户，非合租。拎包入住，押一付一。 安选 1室1厅|40平米|高层(共6层) 张江新苑   浦东-张江 -紫薇路35弄1-33号 整租 东南 2号线  夏张妹 3000 元/月"
"contact","110","anjuke","近地铁2号线金科路 古桐六村 燃气厨卫 干湿分离 拎包入住","3000","1室1厅","110","张江","蕉丽新村","高斯路986弄","南北 2号线","normal","2.34","121.611049","31.201353","道路","https://sh.zu.anjuke.com/fangyuan/4108341984746499"," 近地铁2号线金科路 古桐六村 燃气厨卫 干湿分离 拎包入住 安选 1室1厅|110平米|低层(共6层) 蕉丽新村   浦东-张江 -高斯路986弄 整租 南北 2号线  陈琪 3000 元/月"
"contact","110","anjuke","金科路长泰广场精装一房一厅，燃气做饭洗澡，卫生间干湿分离","3000","1室1厅","114.2","张江","蕉丽新村","高斯路986弄","朝南 2号线","normal","2.34","121.611049","31.201353","道路","https://sh.zu.anjuke.com/fangyuan/4613509293974536","金科路长泰广场精装一房一厅，燃气做饭洗澡，卫生间干湿分离 安选 1室1厅|114.2平米|高层(共6层) 蕉丽新村   浦东-张江 -高斯路986弄 整租 朝南 2号线  乔婷婷 3000 元/月"
"contact","110","anjuke","2号线广兰路！直达陆家嘴龙阳路，朝南全景落地窗，全屋精装定制","3000","1室1厅","43.6","张江","兰沁苑","紫薇路750弄","朝南 有电梯 2号线","normal","3.32","121.623853","31.206538","道路","https://sh.zu.anjuke.com/fangyuan/4625206630933512","2号线广兰路！直达陆家嘴龙阳路，朝南全景落地窗，全屋精装定制 安选 1室1厅|43.6平米|中层(共17层) 兰沁苑   浦东-张江 -紫薇路750弄 整租 朝南 有电梯 2号线  张程 3000 元/月"
"contact","110","anjuke","2号线广兰路 兰沁苑 实体墙一房一厅一厨一卫室内燃气厨卫","3000","1室1厅","98.2","张江","兰沁苑","紫薇路750弄","朝南 2号线","normal","3.32","121.623853","31.206538","道路","https://sh.zu.anjuke.com/fangyuan/4538533950462979","2号线广兰路 兰沁苑 实体墙一房一厅一厨一卫室内燃气厨卫 安选 1室1厅|98.2平米|低层(共6层) 兰沁苑   浦东-张江 -紫薇路750弄 整租 朝南 2号线  蔡媛 3000 元/月"
"contact","110","anjuke","11号线康新公路地铁站附近有漕河泾商务绿洲吉祥航空新月湾总部","3000","1室1厅","112.5","康桥","宁怡苑","秀沿路2875弄1-53号","朝南 有电梯 11号线/机场联络线","normal","4.69","121.611392","31.1388","门址","https://sh.zu.anjuke.com/fangyuan/4629550252682247"," 11号线康新公路地铁站附近有漕河泾商务绿洲吉祥航空新月湾总部 安选 1室1厅|112.5平米|共4层 宁怡苑   浦东-康桥 -秀沿路2875弄1-53号 整租 朝南 有电梯 11号线/机场联络线  唐成宝 3000 元/月"
"contact","110","anjuke","实拍！11号秀沿路，康新公路，精装修一室一厅，近漕河泾，智元","3000","1室1厅","94","康桥","宁怡苑","秀沿路2875弄1-53号","朝南 11号线/机场联络线","normal","4.69","121.611392","31.1388","门址","https://sh.zu.anjuke.com/fangyuan/4609387033275403","实拍！11号秀沿路，康新公路，精装修一室一厅，近漕河泾，智元 安选 1室1厅|94平米|中层(共6层) 宁怡苑   浦东-康桥 -秀沿路2875弄1-53号 整租 朝南 11号线/机场联络线  宁翠 3000 元/月"
"contact","110","anjuke","急租管家 | 民用水电 | 带阳台 | 欢迎来电","3000","1室1厅","60","张江","沪南路2500号楼","沪南路2500号","朝南 有电梯 11/18号线","normal","5.05","121.564945","31.152202","门址","https://sh.zu.anjuke.com/fangyuan/4640950734216198"," 急租管家 | 民用水电 | 带阳台 | 欢迎来电 安选 1室1厅|60平米|共4层 沪南路2500号楼   浦东-北蔡 沪南路2500号 整租 朝南 有电梯 11/18号线  余静 3000 元/月"
"contact","110","anjuke","前台管家包售后及维修，24小时在线。安保到位","3000","1室1厅","45","御桥","沪南路2420号楼","沪南路2420号","朝南 有电梯 11/13/18号线","normal","5.05","121.563679","31.1536","门址","https://sh.zu.anjuke.com/fangyuan/4560497604076549"," 前台管家包售后及维修，24小时在线。安保到位 安选 1室1厅|45平米|共3层 沪南路2420号楼   浦东-御桥 -沪南路2420号 整租 朝南 有电梯 11/13/18号线  汪书萍 3000 元/月"
"contact","110","anjuke","18号线御桥 押一付一","3000","1室1厅","50","御桥","沪南路2420号楼","沪南路2420号","朝东 有电梯 11/13/18号线","normal","5.05","121.563679","31.1536","门址","https://sh.zu.anjuke.com/fangyuan/4608063547581442"," 18号线御桥 押一付一 安选 1室1厅|50平米|共4层 沪南路2420号楼   浦东-御桥 -沪南路2420号 整租 朝东 有电梯 11/13/18号线  孙浩淞 3000 元/月"
"contact","110","anjuke","精装全配 拎包入住 采光好 交通便利","3000","1室1厅","45","张江","张江国创中心","丹桂路899号","朝南 有电梯 2号线","normal","5.29","121.632282","31.222713","公交地铁站点","https://sh.zu.anjuke.com/fangyuan/4625626932059140"," 精装全配 拎包入住 采光好 交通便利 安选 1室1厅|45平米|中层(共10层) 张江国创中心   浦东-张江 -丹桂路899号 整租 朝南 有电梯 2号线  方伟 3000 元/月"
