supplement_area,platform,source_area,rent,title,layout,area_m2,floor,community,district_business,address,tags,residential_priority,local_score,source_url,source_filter_url,coverage_note,raw_evidence
曹路,anjuke,曹路,3000,免佣 可备案 可月付 近卡元来安路 近龚小 近地铁 采光刺眼,1室1厅,55,低层(共6层),丰怡苑,浦东-曹路,龚华路50弄1-93号,朝南 有电梯 9号线,normal,103,https://sh.zu.anjuke.com/fangyuan/4607201606560771,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣 可备案 可月付 近卡元来安路 近龚小 近地铁 采光刺眼 安选 1室1厅|55平米|低层(共6层) 丰怡苑   浦东-曹路 -龚华路50弄1-93号 整租 朝南 有电梯 9号线  戴昊天 3000 元/月
曹路,anjuke,曹路,3000,免佣 紧邻地铁口永华苑朝南一居室民用水电 温馨舒适,1室1厅,54,高层(共18层),金海华城永华苑,浦东-曹路,龚华路35弄,朝南 有电梯 9号线,normal,103,https://sh.zu.anjuke.com/fangyuan/4597024562226181,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣 紧邻地铁口永华苑朝南一居室民用水电 温馨舒适 安选 1室1厅|54平米|高层(共18层) 金海华城永华苑   浦东-曹路 -龚华路35弄 整租 朝南 有电梯 9号线  周光群 3000 元/月
曹路,anjuke,曹路,3000,近地铁 广场旁 居家一房 采光好 全南户型 随时看 有钥匙！,1室1厅,53,高层(共8层),金海华城福民佳苑,浦东-曹路,银峰路285弄1-52号,朝南 有电梯 9号线,normal,103,https://sh.zu.anjuke.com/fangyuan/4580360425939975,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁 广场旁 居家一房 采光好 全南户型 随时看 有钥匙！ 安选 1室1厅|53平米|高层(共8层) 金海华城福民佳苑   浦东-曹路 -银峰路285弄1-52号 整租 朝南 有电梯 9号线  占欣瑶 3000 元/月
曹路,anjuke,曹路,3600,近地铁，近招商花园城，简单装修，南北通透，干净整洁，拎包入住,2室1厅,67,中层(共6层),阳光苑(浦东),浦东-曹路,"民同路10弄,民同路40弄",朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4585934452728847,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,"近地铁，近招商花园城，简单装修，南北通透，干净整洁，拎包入住 安选 2室1厅|67平米|中层(共6层) 阳光苑(浦东)   浦东-曹路 -民同路10弄,民同路40弄 整租 朝南 有电梯 9号线  谢圆圆 3600 元/月"
曹路,anjuke,曹路,3700,近曹路地铁口 整租两居室 有客厅 随时入住 带车位民用水电,2室1厅,58,高层(共17层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4617784002255879,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近曹路地铁口 整租两居室 有客厅 随时入住 带车位民用水电 安选 2室1厅|58平米|高层(共17层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  范景文 3700 元/月
曹路,anjuke,曹路,3800,近地铁 两居室 采光好 空间大 双南 带车位 可月付 随时,2室1厅,55,高层(共18层) 7日内实拍验真,7日内实拍验真 金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4638282158203909,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check, 近地铁 两居室 采光好 空间大 双南 带车位 可月付 随时 安选 2室1厅|55平米|高层(共18层) 7日内实拍验真 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  赖星宇 3800 元/月
曹路,anjuke,曹路,3800,免佣 近顾路中学 曹路地铁站 阳光好 家具全 拎包入 可办证,2室1厅,54,低层(共17层) 7日内实拍验真,7日内实拍验真 金海华城永华苑,浦东-曹路,龚华路35弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4639376035374092,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check, 免佣 近顾路中学 曹路地铁站 阳光好 家具全 拎包入 可办证 安选 2室1厅|54平米|低层(共17层) 7日内实拍验真 金海华城永华苑   浦东-曹路 -龚华路35弄 整租 朝南 有电梯 9号线  滕奔 3800 元/月
曹路,anjuke,曹路,3800,近地铁 广场旁 居家双南两室 采光通风好 办证好停车 随时看,2室1厅,54,中层(共18层) 7日内实拍验真,7日内实拍验真 金海华城永华苑,浦东-曹路,龚华路35弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4636812383117317,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁 广场旁 居家双南两室 采光通风好 办证好停车 随时看 安选 2室1厅|54平米|中层(共18层) 7日内实拍验真 金海华城永华苑   浦东-曹路 -龚华路35弄 整租 朝南 有电梯 9号线  占欣瑶 3800 元/月
曹路,anjuke,曹路,3800,菜场旁 近商圈 顾唐路地铁500米 拎包入住 采光好,2室1厅,64.6,中层(共6层),申华小区,浦东-曹路,民耀路391弄,朝南 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4476245875829762,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check, 菜场旁 近商圈 顾唐路地铁500米 拎包入住 采光好 安选 2室1厅|64.6平米|中层(共6层) 申华小区   浦东-曹路 -民耀路391弄 整租 朝南 9号线  李键 3800 元/月
曹路,anjuke,曹路,3800,免佣！近卡园王港！9号线地铁！精装押一付一！可办证！拎包入住,2室1厅,75,高层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4616731831968777,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣！近卡园王港！9号线地铁！精装押一付一！可办证！拎包入住 安选 2室1厅|75平米|高层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  邵梦婷 3800 元/月
曹路,anjuke,曹路,3800,旁边菜场 近地铁 康平双南小两房 小区停车方便 采光好,2室1厅,58,中层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4584360372460558,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,旁边菜场 近地铁 康平双南小两房 小区停车方便 采光好 安选 2室1厅|58平米|中层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  刘天 3800 元/月
曹路,anjuke,曹路,3800,免佣 可月付 有车位 曹路地铁800米 旁边商超 民用水电煤,2室1厅,55.9,低层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4619331311395853,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣 可月付 有车位 曹路地铁800米 旁边商超 民用水电煤 安选 2室1厅|55.9平米|低层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  李坤 3800 元/月
曹路,anjuke,曹路,3800,近地铁 卡园 王港 居家老房 采光通风好 办证好停车 随时看,2室1厅,55,高层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4639806435517452,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁 卡园 王港 居家老房 采光通风好 办证好停车 随时看 安选 2室1厅|55平米|高层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  占欣瑶 3800 元/月
曹路,anjuke,曹路,3800,搞活动了，特房，有固定停车位，近恒越新都汇，押一付一,2室1厅,58,低层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4594237031834639,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,搞活动了，特房，有固定停车位，近恒越新都汇，押一付一 安选 2室1厅|58平米|低层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 9号线  曾燕波 3800 元/月
曹路,anjuke,曹路,3800,曹路地铁口800米，整租双南两室，民用水电，随时看房,2室1厅,56,中层(共17层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4565354153094146,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,曹路地铁口800米，整租双南两室，民用水电，随时看房 安选 2室1厅|56平米|中层(共17层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  孙中央 3800 元/月
曹路,anjuke,曹路,3800,近地铁近横越康平佳苑电梯精装两房带车位南北通民水民电拎包入住,2室1厅,58,低层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4595762587655177,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁近横越康平佳苑电梯精装两房带车位南北通民水民电拎包入住 安选 2室1厅|58平米|低层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  李书琴 3800 元/月
曹路,anjuke,曹路,3800,地铁800米，精装两室，民用水电，燃气做饭燃气热水，方便停车,2室1厅,74,中层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4562938930650114,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,地铁800米，精装两室，民用水电，燃气做饭燃气热水，方便停车 安选 2室1厅|74平米|中层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  余金豪 3800 元/月
曹路,anjuke,曹路,3800,免佣 近顾路中学 曹路地铁站 可办证 阳光好 家具全 拎包入,2室1厅,55,高层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4639385140370441,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣 近顾路中学 曹路地铁站 可办证 阳光好 家具全 拎包入 安选 2室1厅|55平米|高层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  滕奔 3800 元/月
曹路,anjuke,曹路,3800,地铁口整租两房，两户朝南，燃气厨卫，，无中,2室1厅,53,高层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4499182164468744,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,地铁口整租两房，两户朝南，燃气厨卫，，无中 安选 2室1厅|53平米|高层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  张雷雨 3800 元/月
曹路,anjuke,曹路,3800,出门就是地铁站 双南两房 高楼层 采光好 民用水电 随时看房,2室1厅,54,中层(共17层),金海华城永华苑,浦东-曹路,龚华路35弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4547005691649034,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,出门就是地铁站 双南两房 高楼层 采光好 民用水电 随时看房 安选 2室1厅|54平米|中层(共17层) 金海华城永华苑   浦东-曹路 -龚华路35弄 整租 朝南 有电梯 9号线  吴敏慧 3800 元/月
曹路,anjuke,曹路,3800,近顾唐路地铁，自住精装，干净整洁，拎包入住，密码锁看房采光好,2室1厅,57,中层(共6层),阳光苑(浦东),浦东-曹路,"民同路10弄,民同路40弄",朝南 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4524736573025289,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,"近顾唐路地铁，自住精装，干净整洁，拎包入住，密码锁看房采光好 安选 2室1厅|57平米|中层(共6层) 阳光苑(浦东)   浦东-曹路 -民同路10弄,民同路40弄 整租 朝南 9号线  姚杰靖 3800 元/月"
曹路,anjuke,曹路,3850,阳光苑小两房便宜出租，装修全配，价格实惠近顾唐路地铁招商花园,2室1厅,57,中层(共6层),阳光苑(浦东),浦东-曹路,"民同路10弄,民同路40弄",南北 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4578199024053248,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check," 阳光苑小两房便宜出租，装修全配，价格实惠近顾唐路地铁招商花园 安选 2室1厅|57平米|中层(共6层) 阳光苑(浦东)   浦东-曹路 -民同路10弄,民同路40弄 整租 南北 9号线  李昆伦 3850 元/月"
曹路,anjuke,曹路,3900,出门地铁，价格谈，可长签，拎包入住，原，有固定车位,2室1厅,81.1,低层(共18层),星金家园,浦东-曹路,金晓路289弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4573001226738702,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,出门地铁，价格谈，可长签，拎包入住，原，有固定车位 安选 2室1厅|81.1平米|低层(共18层) 星金家园   浦东-曹路 -金晓路289弄 整租 朝南 有电梯 9号线  曾燕波 3900 元/月
曹路、金桥/浦兴,anjuke,曹路,4000,免佣 顾唐路地铁口 可月付 近金桥金吉路 可备案 带车位,2室1厅,75.3,中层(共6层) 7日内实拍验真,7日内实拍验真 民春苑,浦东-曹路,民春路399弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4634993386873866,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣 顾唐路地铁口 可月付 近金桥金吉路 可备案 带车位 安选 2室1厅|75.3平米|中层(共6层) 7日内实拍验真 民春苑   浦东-曹路 -民春路399弄 整租 朝南 有电梯 9号线  戴昊天 4000 元/月
曹路,anjuke,曹路,4000,近地铁，近招商花园城，居家装修，南北通透，干净整洁，拎包入住,2室1厅,69.7,中层(共6层),新芳邻,浦东-曹路,民耀路227弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4604258896014345,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁，近招商花园城，居家装修，南北通透，干净整洁，拎包入住 安选 2室1厅|69.7平米|中层(共6层) 新芳邻   浦东-曹路 -民耀路227弄 整租 朝南 有电梯 9号线  谢圆圆 4000 元/月
曹路,anjuke,曹路,4000,近恒越 精装修 可办证 有车位 民用水电 拎包入住 随时看房,2室1厅,53.5,低层(共18层),星海家园,浦东-曹路,海容路399弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4604048538283010,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近恒越 精装修 可办证 有车位 民用水电 拎包入住 随时看房 安选 2室1厅|53.5平米|低层(共18层) 星海家园   浦东-曹路 -海容路399弄 整租 朝南 有电梯 9号线  赵雷草 4000 元/月
曹路,anjuke,曹路,4000,近地铁 近恒越 星海家园 拎包入住 精装修 2室1厅1卫,2室1厅,53.5,低层(共18层),星海家园,浦东-曹路,海容路399弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4611365384444941,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁 近恒越 星海家园 拎包入住 精装修 2室1厅1卫 安选 2室1厅|53.5平米|低层(共18层) 星海家园   浦东-曹路 -海容路399弄 整租 朝南 有电梯 9号线  李露 4000 元/月
曹路,anjuke,曹路,4000,无佣 近地铁口 阳光好 家具全 拎包入住,2室1厅,75.3,低层(共6层),民春苑,浦东-曹路,民春路399弄,朝南 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4629484278522894,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check, 无佣 近地铁口 阳光好 家具全 拎包入住 安选 2室1厅|75.3平米|低层(共6层) 民春苑   浦东-曹路 -民春路399弄 整租 朝南 9号线  滕奔 4000 元/月
曹路,anjuke,曹路,4000,实拍好房 近民雷路地铁 精装修 可办证 民用水电 拎包入住,2室1厅,75.3,中层(共6层),民春苑,浦东-曹路,民春路399弄,朝南 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4635421183401997,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj107-mt1/,from_existing_export; needs_geocode_and_staleness_check,实拍好房 近民雷路地铁 精装修 可办证 民用水电 拎包入住 安选 2室1厅|75.3平米|中层(共6层) 民春苑   浦东-曹路 -民春路399弄 整租 朝南 9号线  张雷 4000 元/月
曹路,anjuke,曹路,4000,900米曹路地铁 精美双南小两房 好停车 采光好 拎包入住,2室1厅,52,高层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4616299996734479,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,900米曹路地铁 精美双南小两房 好停车 采光好 拎包入住 安选 2室1厅|52平米|高层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  刘天 4000 元/月
曹路,anjuke,曹路,4000,免佣！康平佳苑全南小两房 电梯高层 近卡园王港 好停车随时看,2室1厅,56,中层(共16层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4618545644723213,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj107-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣！康平佳苑全南小两房 电梯高层 近卡园王港 好停车随时看 安选 2室1厅|56平米|中层(共16层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  李彬杰 4000 元/月
曹路,anjuke,曹路,4000,地铁800米，精装两室，民用水电，随时看房入住，方便停车！,2室1厅,55.9,高层(共18层),金海华城康平佳苑,浦东-曹路,龚路支路473弄1-22号,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4623553618076679,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,地铁800米，精装两室，民用水电，随时看房入住，方便停车！ 安选 2室1厅|55.9平米|高层(共18层) 金海华城康平佳苑   浦东-曹路 -龚路支路473弄1-22号 整租 朝南 有电梯 9号线  余金豪 4000 元/月
曹路,anjuke,曹路,4000,免佣租房 实图拍摄 地铁口双南小两房 户型方正 看房随时,2室1厅,54,中层(共16层),金海华城永华苑,浦东-曹路,龚华路35弄,朝南 有电梯 9号线,normal,101,https://sh.zu.anjuke.com/fangyuan/4569757823708168,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,免佣租房 实图拍摄 地铁口双南小两房 户型方正 看房随时 安选 2室1厅|54平米|中层(共16层) 金海华城永华苑   浦东-曹路 -龚华路35弄 整租 朝南 有电梯 9号线  洪瑞斌 4000 元/月
